Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
POCO X5 5G,Supernova Green,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,"15,999"
SAMSUNG Galaxy F14 5G,GOAT Green,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","13,490"
SAMSUNG Galaxy F23 5G,Aqua Blue,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,"16,999"
REDMI 10,Pacific Blue,128,6,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"10,999"
SAMSUNG Galaxy F14 5G,OMG Black,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","13,490"
micromax,OMG Black,128,4,1000,0MP,0MP,0,4.5,SC6531E,"1,422"
MOTOROLA Edge 40,Eclipse Black,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,"29,999"
micromax 1,Eclipse Black,256,8,800,0MP,0MP,0,4.5,SC6531E,"1,299"
POCO M4 5G,Yellow,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"11,999"
POCO M4 5G,Yellow,128,6,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"13,999"
REDMI 10,Midnight Black,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"9,499"
Infinix Smart 7 HD,Ink Black,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
Infinix Smart 7 HD,Silk Blue,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
Infinix Smart 7 HD,Jade White,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
realme Narzo 30,Racing Silver,128,6,5000,48MP,16MP,0,16.51,MediaTek Helio G95,"12,499"
Infinix NOTE 12i,Alpine White,64,4,5000,50MP,8MP,0,17.02,Mediatek Helio G85,"9,999"
POCO X5 5G,Jaguar Black,256,8,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,"17,999"
realme 10,Rush Black,64,4,5000,50MP,16MP,0,16.26,Mediatek Helio G99 Octa Core,"12,499"
realme 8i,Space Black,64,4,5000,50MP,16MP,0,16.76,MediaTek Helio G96,"11,499"
SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","14,490"
REDMI A1+,Light Green,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","14,490"
Micromax 3,OMG Black,128,4,1020,2MP,0MP,0,6.1,MediaTek,"2,615"
realme Narzo 30,Racing Blue,128,6,5000,48MP,16MP,0,16.51,MediaTek Helio G95,"12,499"
Google Pixel 6a,Chalk,128,6,4410,12MP,8MP,0,15.6,Google Tensor,"28,999"
Google Pixel 6a,Charcoal,128,6,4410,12MP,8MP,0,15.6,Google Tensor,"28,999"
REDMI A1+,Black,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
Infinix HOT 20 5G,Blaster Green,64,4,5000,50MP,8MP,1,16.76,Dimensity 810,"11,499"
Infinix NOTE 12i,Metaverse Blue,64,4,5000,50MP,8MP,0,17.02,Mediatek Helio G85,"9,999"
realme GT 2,Steel Black,128,8,5000,50MP,16MP,0,16.81,Qualcomm Snapdragon 888,"23,999"
realme GT 2,Paper White,128,8,5000,50MP,16MP,0,16.81,Qualcomm Snapdragon 888,"23,999"
realme 10,Clash White,64,4,5000,50MP,16MP,0,16.26,Mediatek Helio G99 Octa Core,"12,499"
REDMI Note 12,Sunrise Gold,64,6,5000,50MP,13MP,0,16.94,Snapdragon 685,"14,999"
Infinix HOT 20 5G,Space Blue,64,4,5000,50MP,8MP,1,16.76,Dimensity 810,"11,499"
REDMI Note 12 5G,Frosted Green,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 4 Gen 1,"18,999"
REDMI Note 12 5G,Matte Black,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 4 Gen 1,"18,999"
REDMI Note 12 5G,Mystique Blue,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 4 Gen 1,"18,999"
Infinix NOTE 12i,Force Black,64,4,5000,50MP,8MP,0,17.02,Mediatek Helio G85,"9,999"
REDMI Note 12 5G,Matte Black,128,4,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 4 Gen 1,"16,999"
REDMI Note 12 5G,Mystique Blue,128,4,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 4 Gen 1,"16,999"
Infinix HOT 20 5G,Racing Black,64,4,5000,50MP,8MP,1,16.76,Dimensity 810,"11,499"
micromax 3,Racing Black,64,4,800,2MP,0MP,0,5.08,0 0 0 208MHz,"2,490"
SAMSUNG Galaxy M04,Dark Blue,64,4,5000,13MP,5MP,0,16.51,MediaTek Helio P35,"7,961"
MOTOROLA Edge 40,Nebula Green,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,"29,999"
micromax 2,Nebula Green,256,8,800,0MP,0MP,0,4.5,SC6531E,"1,299"
micromax 3,Nebula Green,256,4,1020,2MP,0MP,0,6.1,MediaTek,"2,499"
REDMI 11 Prime,Flashy Black,128,6,5000,50MP,8MP,0,16.71,Helio G99,"11,999"
REDMI 11 Prime,Peppy Purple,128,6,5000,50MP,8MP,0,16.71,Helio G99,"11,999"
REDMI K50i 5G,Stealth Black,256,8,5080,64MP,16MP,0,16.76,Dimensity 8100,"23,999"
MOTOROLA e40,Carbon Gray,64,4,5000,48MP,8MP,0,16.51,UNISOC T700,"8,999"
REDMI 9 Activ,Coral Green,128,6,5000,13MP,5MP,0,16.59,Mediatek Helio G35,"9,499"
REDMI Note 12,Ice Blue,64,6,5000,50MP,13MP,0,16.94,Snapdragon 685,"14,999"
SAMSUNG Galaxy F23 5G,Copper Blush,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,"16,999"
