Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
realme 9 Pro+ 5G,Aurora Green,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,"21,999"
realme 9 Pro+ 5G,Midnight Black,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,"21,999"
REDMI 11 Prime,Playful Green,64,4,5000,50MP,8MP,0,16.71,Helio G99,"9,999"
REDMI Note 12 Pro 5G,Glacier Blue,256,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,"26,999"
REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,"23,999"
REDMI Note 12,Ice Blue,128,6,5000,50MP,13MP,0,16.94,Snapdragon 685,"16,999"
realme Narzo 30,Racing Silver,64,4,5000,48MP,16MP,0,16.51,MediaTek Helio G95,"13,499"
POCO X5 Pro 5G,Astral Black,128,6,5000,108MP,16MP,0,16.94,Qualcomm Snapdragon 778G,"21,999"
Infinix Hot 12,Exploratory Blue,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,"8,999"
Infinix Hot 12,Polar Black,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,"8,999"
Infinix Hot 12,7Â° Purple,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,"8,999"
Infinix Hot 12,Turquoise Cyan,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,"8,999"
REDMI Note 12 Pro+ 5G,Iceberg Blue,256,4,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,"32,999"
MOTOROLA G32,Mineral Gray,64,4,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,"10,999"
MOTOROLA g72,Meteorite Grey,128,6,5000,108MP,16MP,0,16.64,Mediatek Helio G99,"16,999"
Micromax IN 2C,Brown,32,3,5000,8MP,5MP,0,16.56,Unisoc T610,"5,999"
vivo Y16,Drizzling Gold,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"12,990"
MOTOROLA Edge 40,Lunar Blue,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,"29,999"
POCO X4 Pro 5G,Yellow,64,6,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,"16,499"
POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),"29,999"
realme 9 Pro+ 5G,Sunrise Blue,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,"21,999"
realme Narzo 50i,Carbon Black,32,2,5000,8MP,5MP,0,16.51,SC9863A,"6,978"
realme Narzo 50i,Mint Green,32,2,5000,8MP,5MP,0,16.51,SC9863A,"7,370"
REDMI Note 12 Pro+ 5G,Arctic White,256,2,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,"32,999"
MOTOROLA e13,Creamy White,64,2,5000,13MP,5MP,0,16.51,Unisoc T606,"6,799"
SAMSUNG Galaxy F23 5G,Forest Green,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,"15,999"
SAMSUNG Galaxy Z Flip3 5G,Phantom Black,128,8,3300,12MP,10MP,0,17.02,Qualcomm Snapdragon 888 Octa-Core,"44,999"
POCO M4 Pro 5G,Cool Blue,128,6,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"16,999"
MOTOROLA g42,Atlantic Green,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,"13,999"
POCO M4 5G,Cool Blue,128,6,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"13,999"
realme C33,Night Sea,32,3,5000,50MP,5MP,0,16.51,Unisoc T612,"8,999"
realme C33,Aqua Blue,32,3,5000,50MP,5MP,0,16.51,Unisoc T612,"8,999"
realme Narzo 50i Prime,Dark Blue,64,4,5000,8MP,5MP,0,16.51,Unisoc T612 processor,"8,995"
Infinix Zero 20,Green Fantasy,128,8,4500,108MP,60MP,0,17.02,Mediatek G99,"15,999"
Infinix Zero 20,DEEP GRAY,128,8,4500,108MP,60MP,0,17.02,Mediatek G99,"15,999"
realme 8,Punk Black,128,4,5000,64MP,16MP,0,16.26,MediaTek Helio G95,"13,499"
realme C33,Night Sea,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,"9,999"
realme C33,Sandy Gold,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,"9,999"
realme C33,Aqua Blue,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,"9,999"
realme 8,Cyber Black,128,8,5000,64MP,16MP,0,16.26,MediaTek Helio G95,"15,499"
vivo Y35,Dawn Gold,128,8,5000,50MP,16MP,0,16.71,Qualcomm Snapdragon 680,"16,999"
vivo Y35,Agate Black,128,8,5000,50MP,16MP,0,16.71,Qualcomm Snapdragon 680,"16,999"
MOTOROLA Edge 30,Aurora Green,128,8,4020,50MP,32MP,0,16.64,Qualcomm Snapdragon 778G Plus,"24,999"
MOTOROLA g72,Polar Blue,128,6,5000,108MP,16MP,0,16.64,Mediatek Helio G99,"16,999"
MOTOROLA g52,Charcoal Grey,64,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,"11,249"
MOTOROLA Edge 30 Fusion,Cosmic grey,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,"34,999"
REDMI K50i 5G,Quick Silver,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,"21,174"
Infinix Note 12,Force Black,64,4,5000,50MP,16MP,1,17.02,MediaTek Helio G88,"10,999"
Google Pixel 7a,Sea,128,8,4300,64MP,13MP,0,15.49,Tensor G2,"43,999"
Google Pixel 7a,Charcoal,128,8,4300,64MP,13MP,0,15.49,Tensor G2,"43,999"
Tecno Spark 9,Infinity Black,64,4,5000,13MP,8MP,0,16.76,MediaTek Helio G37,"7,993"
Tecno Spark 9,Sky Mirror,64,4,5000,13MP,8MP,0,16.76,MediaTek Helio G37,"8,069"
MOTOROLA Edge 30,Meteor Grey,128,8,4020,50MP,32MP,0,16.64,Qualcomm Snapdragon 778G Plus,"24,999"
OPPO Reno8T 5G,Sunrise Gold,128,8,4800,108MP,32MP,0,17.02,Qualcomm Snapdragon 695,"29,999"
SAMSUNG Galaxy A14 5G,Dark Red,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"16,499"
MOTOROLA g13,Matte Charcoal,64,4,5000,50MP,8MP,0,16.51,Helio G85,"9,499"
REDMI Note 12 Pro 5G,Glacier Blue,128,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,"25,999"
POCO F5 5G,Electric Blue,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),"29,999"
SAMSUNG Galaxy A14 5G,Black,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"18,999"
OPPO Reno8T 5G,Midnight Black,128,8,4800,108MP,32MP,0,17.02,Qualcomm Snapdragon 695,"29,999"
SAMSUNG Galaxy A14 5G,Light Green,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"18,999"
Infinix Note 12,Force Black,128,6,5000,50MP,16MP,1,17.02,MediaTek Helio G88,"12,999"
SAMSUNG Galaxy F23 5G,Aqua Blue,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,"15,999"
POCO C31,Shadow Gray,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G35,"8,999"
REDMI 10,Pacific Blue,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"9,499"
POCO X2,Atlantis Blue,64,6,4500,64MP,20MP,0,16.94,Qualcomm Snapdragon 730G,"17,999"
POCO F5 5G,Snowstorm White,256,6,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),"32,999"
Google Pixel 7a,Snow,128,8,4300,64MP,13MP,0,15.49,Tensor G2,"43,999"
nothing phone 1,White,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,"30,499"
Google Pixel 6a,chalk,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,"30,999"
I Kall Z19Pro Flash blue,Flash Blue,64,4,5000,13MP,8MP,0,16.51,Octa Core,"7,999"
MOTOROLA G32,Satin Silver,64,4,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,"10,999"
Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,"9,290"
POCO M4 Pro 5G,Yellow,64,4,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"14,999"
Tecno Spark 9T,Iris Purple,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,"8,449"
Infinix Zero 5G 2023 TURBO,Pearly White,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,"17,999"
Tecno Spark 9T,Tahiti Gold,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,"8,495"
Infinix Zero 5G 2023 TURBO,Submariner Black,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,"17,999"
I Kall Z19Pro,Blue,64,4,5000,13MP,8MP,0,16.51,Octa Core,"7,999"
vivo Y16,Steller Black,64,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"11,999"
vivo Y16,Drizzling Gold,64,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"10,499"
vivo Y16,Steller Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"12,999"
nothing phone 1,Black,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,"29,499"
REDMI K50i 5G,Stealth Black,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,"20,998"
Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,"9,290"
REDMI K50i 5G,Quick Silver,256,8,5080,64MP,16MP,0,16.76,Dimensity 8100,"23,999"
OPPO A78 5G,Glowing Black,128,8,5000,13MP,5MP,0,16.66,Android,"19,280"
Tecno Spark 9T,Atlantic Blue,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,"8,649"
Infinix Zero 5G 2023 TURBO,Coral Orange,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,"17,999"
vivo Y16,Steller Black,64,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"10,999"
POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,"19,499"
realme Narzo 50i,Carbon Black,64,4,5000,8MP,5MP,0,16.51,SC9863A,"9,349"
POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,"19,499"
Tecno Spark Go 2023,Endless Black,64,4,5000,13MP,5MP,0,16.66,"2GHz, Quad Core ","8,288"
REDMI 10 Prime 2022,Astral White,64,4,6000,50MP,13MP,0,16.51,Helio G88,"12,272"
Tecno Spark Go 2023,Endless Black,32,3,5000,13MP,5MP,0,16.66,"2GHz, Quad Core ","6,794"
SAMSUNG Galaxy A23 5G,Light Blue,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),"21,999"
SAMSUNG Galaxy A14 5G,Dark Red,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"18,999"
REDMI Note 12 Pro+ 5G,Obsidian Black,256,4,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,"32,999"
realme C35,Glowing Black,64,4,5000,50MP,8MP,0,16.76,Unisoc Tiger T616,"9,699"
realme C35,Glowing Black,128,4,5000,50MP,8MP,0,16.76,Unisoc Tiger T616,"10,699"
MOTOROLA g22,Cosmic Black,64,4,5000,50MP,16MP,0,16.51,Mediatek Helio G37,"10,999"
itel A60,VertMenthe,32,2,5000,8MP,5MP,0,16.76,Unisoc,"5,999"
vivo Y16,Drizzling Gold,64,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"11,999"
vivo V23 5G,Stardust Black,256,4,4200,64MP,50MP,0,16.36,Mediatek Dimensity 920,"27,540"
OnePlus Nord 2T 5G,Gray Shadow,128,8,4500,50MP,32MP,0,17.02,Oxygen OS,"27,877"
SAMSUNG Galaxy A23 5G,Orange,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),"21,999"
itel A60,SapphireBlack,32,2,5000,8MP,5MP,0,16.76,Unisoc,"5,990"
itel A60,DawnBlue,32,2,5000,8MP,5MP,0,16.76,Unisoc,"5,999"
REDMI K50i 5G,Phantom Blue,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,"21,499"
POCO M4 Pro 5G,Cool Blue,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"15,999"
MOTOROLA G42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,"11,980"
Infinix Smart 6,Starry Purple,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,"6,999"
Infinix Smart 6,Heart Of Ocean,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,"6,999"
Infinix Smart 6,Light Sea Green,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,"6,999"
Infinix Smart 6,Polar Black,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,"6,999"
realme 10 Pro+ 5G,Nebula Blue,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,"23,999"
realme 9i,Prism Blue,64,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680 (SM6225),"11,999"
realme 9i,Prism Black,128,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680 (SM6225),"13,499"
SAMSUNG Galaxy A14 5G,Light Green,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"16,499"
SAMSUNG Galaxy A34 5G,Awesome Graphite,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ","32,999"
realme Narzo N55,Prime Blue,64,4,5000,64MP,8MP,0,17.07,Mediatek Helio G88,"11,349"
SAMSUNG Galaxy A34 5G,Awesome Silver,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ","30,999"
OPPO A17k,Navy Blue,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio P35,"9,499"
OPPO A17K,Navy Blue,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio G35,"9,790"
OPPO A17k,Gold,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio P35,"9,499"
OnePlus Nord 2T 5G,Jade Fog,128,8,4500,50MP,32MP,0,17.02,Oxygen OS,"28,298"
realme 10 Pro+ 5G,Dark Matter,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,"23,999"
realme 10 Pro+ 5G,Hyperspace,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,"23,999"
realme 10 Pro+ 5G,Nebula Blue,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,"22,999"
realme 10 Pro+ 5G,Hyperspace,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,"22,999"
realme 10 Pro+ 5G,Dark Matter,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,"22,999"
POCO M4 Pro,Power Black,128,8,5000,64MP,16MP,0,16.33,Mediatek Helio G96,"13,999"
Tecno Pop 5 Pro,Ice Blue,32,3,6000,8MP,5MP,0,16.56,Helio A22,"7,049"
Tecno Pop 5 Pro,Deepsea Luster,32,3,6000,8MP,5MP,0,16.56,Helio A22,"6,960"
SAMSUNG Galaxy M04,Dark Blue,128,4,5000,13MP,5MP,0,16.51,MediaTek Helio P35,"9,104"
vivo V27 5G,Magic Blue,256,4,4600,50MP,50MP,0,17.22,Mediatek Dimensity 7200 5G,"36,999"
REDMI 9 Activ,Carbon Black,128,6,5000,13MP,5MP,0,16.59,Mediatek Helio G35,"9,499"
OPPO A77s,Sunset Orange,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,"16,499"
realme C30s,Stripe Blue,32,2,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,"6,999"
MOTOROLA Edge 30 Ultra,Interstellar Black,256,4,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,"49,999"
SAMSUNG Galaxy A23 5G,Silver,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),"21,999"
SAMSUNG Galaxy A14 5G,Dark Red,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"20,999"
SAMSUNG Galaxy A34 5G,Awesome Graphite,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ","30,999"
IQOO Neo 7 5G,Frost Blue,128,8,5000,64MP,16MP,0,17.22,Snapdragon 8 Gen 1,"30,385"
vivo Y56 5G,Black Engine,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,"19,999"
Infinix Note 12 5G,Snowfall,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,"14,999"
Infinix HOT 12 Play,Racing Black,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,"8,999"
POCO F5 5G,Electric Blue,256,4,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),"32,999"
vivo Y75,Dancing waves,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,"19,990"
realme C30s,Stripe Black,32,2,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,"6,999"
POCO X4 Pro 5G,Laser Blue,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,"19,499"
realme Narzo 50A Prime,Flash Blue,128,4,5000,50MP,8MP,0,16.76,Unisoc T612,"12,900"
SAMSUNG Galaxy A14 5G,Black,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"16,499"
Tecno Spark 9,Sky Mirror,64,3,5000,13MP,8MP,0,16.76,MediaTek Helio G37,"8,990"
realme NARZO 50A PRIME,FLASH BLUE,64,4,5000,50MP,8MP,0,16.76,Unisoc T612,"10,943"
Google Pixel 7,Snow,128,8,4270,50MP,8MP,0,16.0,Google Tensor G2,"55,999"
Google Pixel 7,Obsidian,128,8,4270,50MP,8MP,0,16.0,Google Tensor G2,"55,999"
POCO F1,Steel Blue,64,6,4000,12MP,20MP,0,15.7,Qualcomm Snapdragon 845,"13,489"
MOTOROLA Edge 30 Fusion,Solar Gold,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,"34,999"
POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),"32,999"
vivo Y12G,Phantom Black,64,3,5000,13MP,8MP,0,16.54,Qualcomm Snapdragon 439,"11,209"
REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,"26,999"
realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,"8,499"
realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,"8,499"
SAMSUNG Galaxy A14 5G,Black,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"20,999"
Google Pixel 7,Lemongrass,128,8,4270,50MP,8MP,0,16.0,Google Tensor G2,"55,999"
SAMSUNG Galaxy A23,Black,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),"17,499"
vivo Y56 5G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,"19,999"
vivo Y56 5G,Black Engine,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,"17,999"
realme Narzo 50A,Oxygen Blue,64,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,"11,499"
vivo Y75,Moonlight Shadow,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,"16,988"
vivo Y16,Stellar Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"12,989"
MOTOROLA g52,Metallic White,128,6,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,"13,999"
vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,"23,999"
Redmi 9A Sport,Coral Green,32,2,5000,13MP,5MP,0,16.59,Helio G25,"7,190"
Redmi 9A Sport,Coral Green,32,3,5000,13MP,5MP,0,16.59,Helio G25,"7,990"
vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,"23,999"
SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),"20,999"
REDMI Note 11,Horizon Blue,64,4,5000,50MP,13MP,0,16.33,Snapdragon 680,"12,990"
vivo V25 5G,Elegant Black,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,"27,999"
SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ","32,999"
Infinix Note 12 5G,Force Black,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,"14,999"
MOTOROLA g42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,"13,999"
SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ","30,999"
SAMSUNG Galaxy S21 FE 5G,Olive Green,128,8,4500,12MP,32MP,0,16.26,snapdragon 888,"32,999"
REDMI Note 11T 5G,Stardust White,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"19,397"
vivo V25 5G,Surfing Blue,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,"27,999"
vivo Y16,Steller Black,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"10,989"
vivo Y16,Drizzling Gold,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,"10,989"
realme X3 SuperZoom,Glacier Blue,256,3,4200,64MP,16MP,0,16.69,Qualcomm Snapdragon 855,"17,999"
OPPO F21 Pro,Sunset Orange,128,8,4500,64MP,32MP,0,16.33,Qualcomm Snapdragon 680,"20,999"
REDMI Note 11S,Space Black,128,6,5000,108MP,16MP,0,16.33,Mediatek Dimensity 810,"16,990"
Infinix HOT 12 Play,Horizon Blue,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,"8,999"
vivo V23 5G,Stardust Black,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,"29,990"
OnePlus 8,Interstellar Glow,256,8,4300,48MP,32MP,0,16.64,Qualcomm Snapdragon 865,"38,920"
vivo Y1s,Aurora Blue,32,3,4030,13MP,5MP,0,15.8,MediaTek Helio P35,"9,387"
OnePlus 8,Glacial Green,128,6,4300,48MP,16MP,0,16.64,Qualcomm Snapdragon 865,"29,790"
OnePlus Nord,Blue Marble,128,8,4115,48MP,13MP,0,16.36,QualcommÂ® Snapdragonâ_x0084_¢ 765G,"24,999"
OPPO A77s,Starry Black,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,"16,499"
Nokia C01 Plus,Grey,16,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,"5,799"
POCO M4 Pro,Power Black,128,6,5000,64MP,16MP,0,16.33,Mediatek Helio G96,"16,499"
REDMI 10A SPORT,SLATE GREY,128,6,5000,13MP,5MP,0,16.59,Helio G25,"10,890"
REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13MP,5MP,0,16.59,Helio G25,"10,548"
realme GT 2,Steel Black,256,2,5000,50MP,16MP,0,16.81,Qualcomm Snapdragon 888,"32,299"
SAMSUNG Galaxy A54 5G,Awesome Graphite,256,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ","40,999"
Nokia C01 Plus,Blue,32,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,"6,299"
vivo Y33s,Mirror Black,128,8,5000,50MP,16MP,0,16.71,MediaTek Helio G80,"16,990"
vivo Y56 5G,Orange Shimmer,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,"17,999"
realme Narzo N55,Prime Black,64,4,5000,64MP,8MP,0,17.07,MediaTek Helio G88,"11,490"
realme Narzo 50A Prime,Flash Black,128,4,5000,50MP,8MP,0,16.76,MediaTek Helio G88,"12,599"
REDMI Note 10S,Frost White,128,6,5000,64MP,13MP,0,16.33,Mediatek Helio G95,"16,499"
realme X3 SuperZoom,Arctic White,256,6,4200,64MP,32MP,0,16.69,Qualcomm Snapdragon 855+,"17,999"
vivo V23 5G,Sunshine Gold,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,"31,989"
APPLE iPhone 11,Black,64,8,3110,12MP,12MP,0,15.49,ios,"41,199"
vivo T1 Pro 5G,Turbo Black,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,"24,999"
vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,"23,999"
Infinix Smart 5A,Midnight Black,32,2,5000,8MP,8MP,0,16.56,MediaTek Helio A20,"7,199"
SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,"15,999"
POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,"8,999"
POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,"8,999"
MOTOROLA e22s,Eco Black,64,4,5000,16MP,8MP,0,16.51,Mediatek Helio G37,"8,940"
vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G,"24,999"
Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13MP,5MP,0,16.66,MediaTek Helio A22,"8,288"
POCO C31,Royal Blue,32,3,5000,13MP,5MP,0,16.59,MediaTek Helio G35,"8,499"
Infinix Hot 12 Pro,Halo White,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,"9,999"
SAMSUNG Galaxy A23,Peach,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),"17,499"
REDMI 9i,Midnight Black,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G25,"8,999"
REDMI Note 9,Scarlet Red,128,6,5020,48MP,13MP,0,16.59,MediaTek Helio G85,"14,999"
MOTOROLA Edge 30 Ultra,Starlight White,256,6,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,"49,999"
vivo Y565G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,MTK Dimensity 700,"19,979"
SAMSUNG M53 5G,Deep Ocean Blue,128,6,5000,108MP,32MP,0,17.02,Mediatek Dimensity 900,"23,390"
REDMI Note 10 Lite,Glacier White,128,6,5020,48MP,16MP,0,16.94,Qualcomm Snapdragon 720G,"14,385"
APPLE iPhone 14 Plus,Midnight,128,6,4323,12MP,12MP,0,17.02,IOS,"80,999"
vivo V25 Pro 5G,Pure Black,256,6,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,"30,874"
Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108MP,8MP,0,16.76,Unisoc T616,"12,999"
vivo V25 Pro 5G,Sailing Blue,128,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,"35,999"
Infinix Hot 11,Emerald Green,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,"9,999"
Infinix Hot 11,Silver Wave,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,"9,999"
